id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
24785,24845,34816,1756,,6Lam Lep,,5.326257,-13.176788,261.0966,-2.49,-4.74,20,4.29,-2.794,B0.5IV,-0.235,44.609015,250.278024,-59.518691,6.36E-06,1.771E-05,-1.05E-05,1.39441076937122,-0.22997834307647,-1.20718606458333E-08,-2.2980168E-08,Lam,6,Lep,1,24785,,1141.82618954822,,,
52003,52154,92449,4180,,,,10.655112,-55.603268,257.732,-18.87,4.31,20,4.29,-2.766,G2II,1.025,-136.666108,50.211211,-212.666606,-6.89E-06,2.765E-05,-1.384E-05,2.78950167251201,-0.970460110164646,-9.14843415208333E-08,2.0895469E-08,,,Vel,1,52003,,1112.75614173052,,,
57763,57936,103192,4552,,Bet Hya,,11.881813,-33.908124,94.9668,-58.02,2.4,-1,4.29,-0.598,Ap Si,-0.1,-78.778366,2.438319,-52.978439,1.06E-06,2.669E-05,1.49E-06,3.11065140972215,-0.59180841118913,-2.81288897458333E-07,1.1635528E-08,Bet,,Hya,1,57763,,151.077573192499,Bet,4.309,4.269
76819,77055,142105,5903,,16Zet UMi,,15.734299,77.794493,113.1222,20.07,-2.5,-13,4.29,-0.978,A3Vn,0.038,-13.368655,-19.830791,110.565025,9.95E-06,-4.93E-06,-1.328E-05,4.11922978639343,1.35777003994701,9.73021056875E-08,-1.2120342E-08,Zet,16,UMi,1,76819,,214.387766597351,,,
80648,80894,148786,6147,,8Phi Oph,,16.518991,-16.612733,74.6826,-44.57,-38.04,-34,4.29,-0.076,G8/K0III,0.924,-27.057672,-66.252771,-21.351768,-8.5E-07,4.059E-05,-3.26E-06,4.32466182128725,-0.289946880702335,-2.16081457423611E-07,-1.84423124E-07,Phi,8,Oph,1,80648,,93.4114255736479,,,
108793,109139,209819,8418,,33Iot Aqr,,22.107286,-13.869679,53.7057,40.45,-57.16,-10,4.29,0.64,B8V,-0.075,45.86867,-24.791487,-12.874003,-6.87E-06,1.568E-05,-1.2E-05,5.78767388493742,-0.242071564795616,1.96107133784722E-07,-2.77119499E-07,Iot,33,Aqr,1,108793,,48.3058802039773,,,
110841,111188,213398,8576,,17Bet PsA,,22.52509,-32.346073,43.7828,59.64,-18.7,6,4.29,1.083,A1V,0.011,34.265767,-13.930345,-23.425222,7.6E-06,1.057E-05,-6.64E-06,5.89705478900019,-0.564545480276383,2.89142879083333E-07,-9.0660158E-08,Bet,17,PsA,1,110841,,32.1218093398798,,,
116265,116631,222173,8965,,17Iot And,,23.63561,43.268073,153.1394,27.72,-1.21,-1,4.29,-1.635,B8V,-0.083,111.002171,-10.621481,104.963685,1.83E-06,2.05E-05,-1.36E-06,6.18778816891558,0.755170336670356,1.3439035225E-07,-5.866245E-09,Iot,17,And,1,116265,,392.6449353996,,,
4567,4577,5737,280,,Alp Scl,,0.976766,-29.357449,238.0952,22.44,6.3,10,4.3,-2.584,B7IIIp,-0.154,200.770598,52.489589,-116.727788,5.52E-06,2.821E-05,1.32E-06,0.255716838931662,-0.512384144746466,1.08792189916667E-07,3.0543261E-08,Alp,,Scl,1,4567,,941.022483526751,Alp,4.308,4.298
11457,11484,15318,718,,73Xi 2Cet,,2.469317,8.460054,59.2066,41.72,-14.46,11,4.3,0.438,B9III,-0.053,46.745585,35.276211,8.71048,2.16E-06,1.663E-05,-2.45E-06,0.646465750812341,0.147655788589492,2.02264267527778E-07,-7.0104058E-08,Xi-2,73,Cet,1,11457,,58.1835211048072,,,
